Lambda  loss
9e-06      -1.67508
0.0212      0.417116
1.65e-05      0.354335
0.00027      0.355012
2.42e-06     -0.202064
0.000309      0.355833
4e-05      0.353339
3.63e-10      0.339519
8.4375e-06      -1.54856
8.47379032258e-06      -1.55689
8.51008064516e-06      -1.56541
8.54637096774e-06      -1.57348
8.58266129032e-06      -1.58173
8.6189516129e-06      -1.58959
8.65524193548e-06      -1.59743
8.69153225806e-06      -1.60612
8.72782258065e-06       -1.6141
8.76411290323e-06       -1.6219
8.80040322581e-06      -1.63021
8.83669354839e-06      -1.63834
8.87298387097e-06      -1.64651
8.90927419355e-06      -1.65419
8.94556451613e-06      -1.66278
8.98185483871e-06      -1.67087
9.01814516129e-06      -1.67857
9.05443548387e-06        -1.687
9.09072580645e-06      -1.69533
9.12701612903e-06      -1.70355
9.16330645161e-06       -1.7117
9.19959677419e-06       -1.7194
9.23588709677e-06      -1.72768
9.27217741935e-06      -1.73575
9.30846774194e-06      -1.74416
9.34475806452e-06      -1.75191
9.3810483871e-06      -1.76015
9.41733870968e-06      -1.76794
9.45362903226e-06      -1.77647
9.48991935484e-06      -1.78452
9.52620967742e-06      -1.79226
9.5625e-06       -1.8009
9.4130859375e-06      -1.76728
9.42272555444e-06      -1.76951
9.43236517137e-06      -1.77133
9.44200478831e-06      -1.77367
9.45164440524e-06      -1.77608
9.46128402218e-06      -1.77812
9.47092363911e-06      -1.78053
9.48056325605e-06      -1.78247
9.49020287298e-06      -1.78464
9.49984248992e-06      -1.78635
9.50948210685e-06      -1.78875
9.51912172379e-06      -1.79121
9.52876134073e-06      -1.79338
9.53840095766e-06      -1.79532
9.5480405746e-06      -1.79733
9.55768019153e-06      -1.79913
9.56731980847e-06      -1.80183
9.5769594254e-06      -1.80363
9.58659904234e-06      -1.80597
9.59623865927e-06      -1.80892
9.60587827621e-06      -1.81022
9.61551789315e-06      -1.81252
9.62515751008e-06      -1.81492
9.63479712702e-06      -1.81671
9.64443674395e-06      -1.81919
9.65407636089e-06      -1.82145
9.66371597782e-06      -1.82346
9.67335559476e-06      -1.82585
9.68299521169e-06      -1.82774
9.69263482863e-06      -1.83005
9.70227444556e-06      -1.83167
9.7119140625e-06      -1.83404
9.56016540527e-06      -1.80021
9.56995564122e-06      -1.80247
9.57974587717e-06      -1.80437
9.58953611312e-06      -1.80633
9.59932634907e-06      -1.80909
9.60911658502e-06      -1.81142
9.61890682097e-06      -1.81327
9.62869705692e-06      -1.81534
9.63848729287e-06      -1.81801
9.64827752882e-06      -1.81981
9.65806776477e-06      -1.82186
9.66785800072e-06      -1.82403
9.67764823667e-06      -1.82659
9.68743847262e-06      -1.82896
9.69722870857e-06      -1.83075
9.70701894452e-06      -1.83305
9.71680918048e-06      -1.83522
9.72659941643e-06      -1.83753
9.73638965238e-06      -1.83969
9.74617988833e-06        -1.842
9.75597012428e-06      -1.84381
9.76576036023e-06      -1.84585
9.77555059618e-06      -1.84849
9.78534083213e-06       -1.8509
9.79513106808e-06      -1.85287
9.80492130403e-06      -1.85526
9.81471153998e-06      -1.85715
9.82450177593e-06       -1.8596
9.83429201188e-06      -1.86173
9.84408224783e-06      -1.86328
9.85387248378e-06      -1.86642
9.86366271973e-06      -1.86823
9.70954298973e-06      -1.83399
9.71948619812e-06      -1.83556
9.7294294065e-06      -1.83812
9.73937261489e-06      -1.84032
9.74931582328e-06      -1.84243
9.75925903166e-06      -1.84471
9.76920224005e-06      -1.84751
9.77914544844e-06      -1.84923
9.78908865683e-06       -1.8512
9.79903186521e-06      -1.85388
9.8089750736e-06      -1.85597
9.81891828199e-06      -1.85826
9.82886149037e-06      -1.86044
9.83880469876e-06      -1.86258
9.84874790715e-06      -1.86533
9.85869111553e-06       -1.8669
9.86863432392e-06      -1.86903
9.87857753231e-06      -1.87157
9.88852074069e-06      -1.87364
9.89846394908e-06      -1.87574
9.90840715747e-06       -1.8782
9.91835036585e-06      -1.88044
9.92829357424e-06      -1.88224
9.93823678263e-06      -1.88477
9.94817999101e-06      -1.88676
9.9581231994e-06      -1.88908
9.96806640779e-06      -1.89161
9.97800961618e-06      -1.89349
9.98795282456e-06      -1.89578
9.99789603295e-06      -1.89795
1.00078392413e-05      0.354705
